name,listeners
Anand Bhaskar,700
Shaan Rahman,695
Ghulam Ali,693
The Siege,692
Vansire,692
NLE Choppa,692
Passenger,692
Soundgarden,685
Cavetown,683
Vijay Antony,683
Navaan Sandhu,682
Stromae,682
Aphex Twin,681
Raiyan,681
The Velvet Underground,679
Jawny,679
Blur,677
a-ha,677
Justice,675
League of Legends,673
Kenya Grace,673
Sayfalse,672
Richy Mitch & The Coal Miners,672
Ethel Cain,670
Tesher,668
Lehmber Hussainpuri,668
Ari Abdul,667
Natkhat,667
Grimes,666
Tinashe,666
Jaymes Young,665
"J-hOpE, GloRilla",664
George Harrison,664
Avenoir,664
Achint,664
Tool,663
Zain Zohaib,662
Ayesha Erotica,661
Shafqat Amanat Ali,659
Illenium,658
Prabh Singh,658
BROCKHAMPTON,657
Ludwig Göransson,657
A Boogie wit da Hoodie,656
"Jung Kook, Latto",655
Gregory Alan Isakov,655
Isaiah Rashad,655
6LACK,655
"RM, youjeen",652
The Sundays,651
BABYMONSTER,651
BJ Lips,651
Omar Apollo,650
Trevor Daniel,650
攬佬SKAI ISYOURGOD,649
Yasser Desai,648
Creed,647
Wheatus,647
TWXNY,646
Akhil,646
Arizona Zervas,645
Pierce the Veil,644
Mother Mother,643
FKA twigs,640
Hugel,639
Beach Bunny,639
Bladee,637
Roar,636
The Doors,635
Govind Vasantha,634
Gunda,634
Colde,632
Kaleo,632
Avenged Sevenfold,631
Ice Cube,630
NCT 127,629
Alvvays,628
Pharrell Williams,628
Public,628
Iyaz,628
Paris Paloma,627
Salvia Palth,624
Labi Siffre,623
*NSYNC,623
Jonas Brothers,622
Neutral Milk Hotel,621
Dizlaw,621
U2,620
SHINee,619
