artist,track,listeners,playcount
Gorillaz,El Mañana,857217,5740182
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),850701,7761905
Gorillaz,Intro,830043,3598425
Fleetwood Mac,Dreams - 2004 Remaster,1894080,26446166
Fleetwood Mac,The Chain - 2004 Remaster,1688899,21114583
Fleetwood Mac,Landslide,1487195,14491284
Fleetwood Mac,Rhiannon,1333783,11211857
Fleetwood Mac,Everywhere - 2017 Remaster,1102186,10092830
Fleetwood Mac,Go Your Own Way - 2004 Remaster,1059153,9164011
Fleetwood Mac,Go Your Own Way,957355,6356005
Fleetwood Mac,Dreams,954500,6852865
Fleetwood Mac,Gypsy,949582,7214554
Fleetwood Mac,Silver Springs - 2004 Remaster,863113,10958390
Fleetwood Mac,Everywhere,783992,5016368
Fleetwood Mac,Little Lies - 2017 Remaster,716709,5512725
Fleetwood Mac,Never Going Back Again - 2004 Remaster,691514,5114565
Fleetwood Mac,Don't Stop - 2004 Remaster,678524,3955719
Fleetwood Mac,You Make Loving Fun - 2004 Remaster,650992,4663394
